date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:39	76662/76662	---M--	200	added ('OK')	image/jpeg	etag:%2212b76-63c1481d-4d39ea077e015ceb;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/skills/1.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/skills/1.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:40	77533/77533	---M--	200	added ('OK')	image/jpeg	etag:%2212edd-63c1481d-596073166edcfe9f;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/skills/2.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/skills/2.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:43	2165/2165	---M-Z	200	added ('OK')	image/svg+xml	etag:%22875-63c14822-a67239068a62ed56;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/anchor.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/service/anchor.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:46	4409/4409	---M--	200	added ('OK')	image/png	etag:%221139-63c14820-bd3ee6c1dffb8edd;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/1.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/1.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:02:55	4403/4403	---M--	200	added ('OK')	image/png	etag:%221133-63c14822-517d8fbea37671a5;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/1.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/1.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:00	5458/5458	---M-Z	200	added ('OK')	image/svg+xml	etag:%221552-63c14822-ebaeafe380362bd;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/physics.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/service/physics.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:02	4018/4018	---M--	200	added ('OK')	image/png	etag:%22fb2-63c14820-834305b8c319975e;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/2.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/2.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:04	4450/4450	---M--	200	added ('OK')	image/png	etag:%221162-63c14822-11ed90f645e27ea6;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/2.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/2.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:05	2729/2729	---M-Z	200	added ('OK')	image/svg+xml	etag:%22aa9-63c14822-159df310452a2854;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/contact.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/service/contact.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:09	4019/4019	---M--	200	added ('OK')	image/png	etag:%22fb3-63c14820-d43fb81d64e9acc3;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/3.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/3.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:10	3763/3763	---M--	200	added ('OK')	image/png	etag:%22eb3-63c14822-298dacdf9ab212a3;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/3.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/3.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:12	2261/2261	---M-Z	200	added ('OK')	image/svg+xml	etag:%228d5-63c14822-f661d0dc53c5b118;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/web.svg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/svg/service/web.svg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:14	4017/4017	---M--	200	added ('OK')	image/png	etag:%22fb1-63c14820-4a55fc222dcc9277;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/4.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/4.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:16	3695/3695	---M--	200	added ('OK')	image/png	etag:%22e6f-63c14822-3926a121a34fd973;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/4.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/4.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:19	259520/259520	---M--	200	added ('OK')	image/png	etag:%223f5c0-63c14820-b5b2634a56e3981a;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/5.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/5.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:20	17770/17770	---M--	200	added ('OK')	image/png	etag:%22456a-63c14820-d636385cf3cadf40;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/6.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/6.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:22	66412/66412	---M--	200	added ('OK')	image/jpeg	etag:%221036c-63c1481d-a1cfad5df9881a40;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/service/1.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/service/1.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:23	24038/24038	---M--	200	added ('OK')	image/jpeg	etag:%225de6-63c1481d-24ca41cd4d02a58e;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/service/2.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/service/2.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:23	17083/17083	---M--	200	added ('OK')	image/jpeg	etag:%2242bb-63c1481d-38b4f900dfac3055;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/service/3.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/service/3.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:25	38521/38521	---M--	200	added ('OK')	image/jpeg	etag:%229679-63c1481d-c3396d20e7eb835a;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/service/4.jpg	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/dizme/assets/img/service/4.jpg	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:27	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/tailwind/img/testimonials/bg-client-dark.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/img/testimonials/bg-client-dark.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
03:03:29	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/tailwind/img/testimonials/bg-client.png	C:/My%20Web%20Sites/portfoll/marketifythemes.net/tailwind/img/testimonials/bg-client.png	(from https://marketifythemes.net/tailwind/dizme/index-dark.html)
